기준 년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2018,4,A,골목상권,1000641,도림로6길,850160,423841,426320,51936,91584,138680,159816,165026,243118
2018,4,A,골목상권,1000465,독막로8길,358625,174797,183829,44028,95564,85598,51533,36489,45415
2018,4,A,골목상권,1000642,디지털로27길,422361,241516,180846,18007,70104,104417,94188,64905,70741
2018,4,A,골목상권,1000466,동교로17길,495702,220215,275487,58284,98607,113736,88605,50748,85722
2018,4,A,골목상권,1000643,디지털로32가길,493478,278308,215170,17766,139246,153532,82303,50872,49760
2018,4,A,골목상권,1000469,동교로27길,885657,392853,492805,91338,214305,194967,139463,84692,160890
2018,4,A,골목상권,1000644,디지털로32길,684978,375832,309145,19526,183073,193198,120184,82253,86745
2018,4,A,골목상권,1000470,동교로38길,546642,240356,306286,39715,184852,119254,72672,50511,79637
2018,4,A,골목상권,1000645,부일로11길,433935,199525,234411,96001,43703,55207,68914,63815,106297
2018,4,A,골목상권,1000472,마포대로20길,1082730,512195,570537,136793,174594,226650,182080,157961,204656
2018,4,A,골목상권,1000646,부일로15길,569754,266143,303608,98298,67832,73296,90941,86638,152749
2018,4,A,골목상권,1000473,마포대로4길,352021,166617,185404,35738,48543,72755,64676,51663,78646
2018,4,A,골목상권,1000647,부일로1길,172525,83184,89341,24380,19807,30294,28359,24879,44806
2018,4,A,골목상권,1000452,충정로6길,425353,221020,204334,29845,72850,102310,93646,65141,61561
2018,4,A,골목상권,1000648,새말로18길,830708,394709,435999,73218,173646,191552,127906,114173,150214
2018,4,A,골목상권,1000480,백범로16길,825930,394346,431584,157037,155498,119289,136793,101950,155363
2018,4,A,골목상권,1000649,신도림로13길,296770,143522,153247,63178,29451,47038,50104,42727,64271
2018,4,A,골목상권,1000483,성미산로32길,324846,142395,182452,24228,86527,78764,48584,33001,53743
2018,4,A,골목상권,1000650,오류로8길,1040365,489107,551260,111280,150672,172485,156016,151283,298630
2018,4,A,골목상권,1000484,성산로4길,764256,349340,414916,106300,138260,155353,128742,97863,137738
2018,4,A,골목상권,1000651,우마길,289215,152329,136887,14542,33690,50674,56255,57898,76156
2018,4,A,골목상권,1000487,숭문길,1013995,472667,541329,171769,194825,138925,174321,136364,197789
2018,4,A,골목상권,1000652,중앙로15길,323764,154907,168858,68028,35813,43296,49828,45390,81408
2018,4,A,골목상권,1000488,신촌로12길,719044,327595,391449,82603,227806,121802,88280,76434,122122
2018,4,A,골목상권,1000653,중앙로1길,341842,164259,177582,77086,46793,44176,53512,52296,67979
2018,4,A,골목상권,1000490,신촌로30길,624477,270303,354174,94647,86450,116378,94043,97208,135753
2018,4,A,골목상권,1000654,가산로3길,202386,116192,86193,12109,43694,52340,33648,28093,32501
2018,4,A,골목상권,1000491,양화로11길,438727,199129,239598,37739,105298,105648,74610,48547,66885
2018,4,A,골목상권,1000655,가산로5길,560665,314792,245873,36015,128991,141431,83101,80369,90759
2018,4,A,골목상권,1000098,무수막길,892970,413976,478995,176945,95604,152715,139724,116219,211761
2018,4,A,골목상권,1000656,금하로14길,336046,164690,171355,43143,44891,47011,51827,57894,91280
2018,4,A,골목상권,1000100,무학봉28길,300688,134938,165750,40987,54116,45103,42830,46023,71629
2018,4,A,골목상권,1000657,금하로1길,548182,277977,270205,110567,62988,80208,90673,82123,121624
2018,4,A,골목상권,1000101,무학봉길,599919,264015,335904,114529,79087,99796,94016,79729,132763
2018,4,A,골목상권,1000658,금하로24길,449938,211703,238233,79161,54083,53873,70866,63359,128593
2018,4,A,골목상권,1000456,홍연길,833745,369781,463963,94625,110982,112874,133867,129054,252342
2018,4,A,골목상권,1000659,남부순환로112길,434611,230796,203816,27377,100066,99840,68374,63977,74979
2018,4,A,골목상권,1000496,와우산로3길,349944,174477,175466,29665,81149,77954,56992,39607,64577
2018,4,A,골목상권,1000660,독산로108길,648574,309181,339392,75797,86630,101562,105633,114206,164746
2018,4,A,골목상권,1000498,월드컵로11길,686267,304083,382185,71951,127146,155283,109120,75725,147042
2018,4,A,골목상권,1000661,독산로40길,611917,277983,333932,97644,69285,84298,89545,102905,168240
2018,4,A,골목상권,1000499,월드컵로16길,766382,325802,440581,110075,137292,168239,125005,77240,148531
2018,4,A,골목상권,1000662,독산로50길,409512,183700,225812,70521,47133,56674,57185,67565,110437
2018,4,A,골목상권,1000502,월드컵로36길,834050,369925,464125,155636,120377,133145,137553,105890,181447
2018,4,A,골목상권,1000663,독산로64길,454845,214777,240067,57878,57310,65019,69584,84059,120996
2018,4,A,골목상권,1000503,월드컵로7길,454307,199410,254896,57329,92567,105260,71323,50618,77213
2018,4,A,골목상권,1000664,독산로70길,594713,282508,312204,67562,72447,88639,94899,110848,160317
2018,4,A,골목상권,1000505,토정로37길,353590,166842,186749,52591,39027,65780,72481,49005,74706
2018,4,A,골목상권,1000665,독산로78다길,911542,425118,486426,102349,108791,136568,142334,167429,254074
2018,4,A,골목상권,1000506,효창원로93길,1332819,570225,762593,228207,241068,177570,202561,189898,293515
2018,4,A,골목상권,1000666,독산로85길,153971,73308,80664,13564,18525,24265,24397,30580,42639
2018,4,A,골목상권,1000459,대흥로21길,1476792,640264,836527,161300,531783,209880,162135,145945,265750
2018,4,A,골목상권,1000667,문성로5길,542620,253827,288792,57739,72145,99722,81651,96223,135138
2018,4,A,골목상권,1000512,남부순환로33길,634601,309761,324840,114525,83988,90635,92440,97626,155388
2018,4,A,골목상권,1000668,범안로11길,256179,145047,111133,21580,47127,59689,45372,39599,42813
2018,4,A,골목상권,1000514,남부순환로58길,305013,140968,164046,61604,33495,42538,41896,46678,78803
2018,4,A,골목상권,1000669,범안로17길,286401,154319,132082,26887,49050,59425,47644,49518,53878
2018,4,A,골목상권,1000113,아차산로11길,357497,193867,163630,23743,67025,82159,68686,59368,56516
2018,4,A,골목상권,1000670,벚꽃로56길,457520,254838,202683,21820,83106,100808,92042,76842,82900
2018,4,A,골목상권,1000515,남부순환로70길,638150,307333,330817,88333,68744,87634,98826,103543,191069
2018,4,A,골목상권,1000671,시흥대로120길,520849,247750,273099,51141,68720,87230,90339,97403,126017
2018,4,A,골목상권,1000518,목동남로4길,307077,142496,164583,57331,32348,33486,48582,48279,87054
2018,4,A,골목상권,1000672,시흥대로138길,265093,131484,133608,16897,35436,45593,45029,55272,66865
2018,4,A,골목상권,1000519,목동동로12길,652215,306016,346198,167892,80876,78683,124296,95114,105357
2018,4,A,골목상권,1000673,시흥대로141길,492780,260342,232439,45977,97635,105837,73132,75621,94578
2018,4,A,골목상권,1000521,목동로19길,875773,417189,458584,181137,129310,134172,138836,120576,171742
2018,4,A,골목상권,1000674,시흥대로150길,877711,440225,437485,68422,125616,177855,146848,155368,203601
2018,4,A,골목상권,1000522,목동로9길,1057674,506802,550872,247315,122489,151979,194357,153902,187632
2018,4,A,골목상권,1000675,시흥대로153길,374171,200004,174166,32587,81405,82359,52636,59341,65842
2018,4,A,골목상권,1000464,독막로32길,661543,304780,356763,118564,84528,105735,112550,85382,154784
2018,4,A,골목상권,1000676,시흥대로22길,488877,239234,249642,72198,50767,76169,76349,87444,125949
2018,4,A,골목상권,1000527,목동중앙북로16길,688287,318096,370191,83519,102393,145305,98232,99499,159339
2018,4,A,골목상권,1000677,시흥대로36길,397634,189543,208090,78892,41274,62232,53985,62426,98825
2018,4,A,골목상권,1000529,목동중앙서로7길,914201,419294,494907,195767,109946,126110,162632,135080,184666
2018,4,A,골목상권,1000678,시흥대로62가길,664729,318647,346083,82844,79158,98047,102999,116471,185210
2018,4,A,골목상권,1000530,목동중앙서로8가길,301948,139771,162178,49368,39699,42763,53620,48532,67966
2018,4,A,골목상권,1000679,시흥대로63길,231704,113429,118275,23854,29864,37951,35664,40987,63381
2018,4,A,골목상권,1000533,신목로6길,931091,441340,489749,229883,108475,97617,162799,150686,181630
2018,4,A,골목상권,1000680,시흥대로68길,462628,214318,248310,50920,53922,68852,69956,84201,134777
2018,4,A,골목상권,1000534,신월로15길,1450246,673474,776772,304286,142864,199080,224116,221457,358444
2018,4,A,골목상권,1000681,시흥대로84길,925805,434336,491469,109368,121276,138089,138019,165615,253434
2018,4,A,골목상권,1000536,오목로23길,1054704,493814,560889,159472,128622,187358,159846,154908,264497
2018,4,A,골목상권,1000682,시흥대로94길,758142,383497,374645,75421,103233,126222,124732,140953,187582
2018,4,A,골목상권,1000537,오목로30길,855193,388536,466658,123372,115198,139239,128477,125514,223392
2018,4,A,골목상권,1000683,가마산로61길,727868,349205,378662,124587,86818,97041,110893,124774,183755
2018,4,A,골목상권,1000467,동교로19길,568162,255474,312687,64989,112636,123223,97997,66987,102328
2018,4,A,골목상권,1000684,경인로77길,420713,220957,199756,32836,60208,81940,74915,67370,103444
2018,4,A,골목상권,1000544,중앙로36길,295619,137793,157826,58798,31142,37467,55915,46293,66004
2018,4,A,골목상권,1000685,경인로80길,374790,197064,177726,27230,56000,74122,65976,59938,91524
2018,4,A,골목상권,1000129,광나루로36길,284674,134704,149969,50292,43707,48657,45588,41257,55173
2018,4,A,골목상권,1000686,경인로90길,255004,127386,127618,16305,46752,53629,45497,38054,54766
2018,4,A,골목상권,1000546,중앙로47길,1009221,479275,529946,186991,104261,132649,143919,160369,281032
2018,4,A,골목상권,1000687,국회대로56길,416867,226105,190761,19915,85522,102813,74242,61754,72620
2018,4,A,골목상권,1000547,중앙로51길,1078960,485960,593000,234626,112683,156464,158695,149839,266652
2018,4,A,골목상권,1000688,당산로31길,605046,291623,313423,57929,85389,128418,106557,94148,132606
2018,4,A,골목상권,1000550,화곡로3길,519671,255612,264059,118312,56998,70269,77816,78963,117312
2018,4,A,골목상권,1000689,당산로37길,278308,133498,144811,48357,42451,56241,42814,35721,52723
2018,4,A,골목상권,1000551,화곡로4길,263539,132001,131538,47206,32247,36862,40298,44430,62497
2018,4,A,골목상권,1000690,당산로38길,512537,243047,269490,78277,85320,106190,74564,64319,103867
2018,4,A,골목상권,1000553,가로공원로80길,577618,253309,324309,112398,64983,94788,80617,79076,145755
2018,4,A,골목상권,1000691,당산로46길,635327,306302,329025,65292,130173,118329,87282,87555,146694
2018,4,A,골목상권,1000554,강서로15길,1137523,512620,624904,141529,168024,226210,159226,155933,286601
2018,4,A,골목상권,1000692,대림로22길,1368396,664405,703991,128319,158759,197888,225767,249299,408364
2018,4,A,골목상권,1000471,마포대로12길,331452,162375,169075,27532,53133,75427,65569,51762,58030
2018,4,A,골목상권,1000693,대림로29길,1625141,787534,837608,114545,227817,282441,282047,313080,405213
2018,4,A,골목상권,1000559,강서로45길,523038,231662,291376,126524,54826,64979,78964,67625,130119
2018,4,A,골목상권,1000694,대림로31길,518228,264683,253546,77923,59209,86572,88665,99028,106831
2018,4,A,골목상권,1000561,강서로47길,1032540,428280,604261,321048,97999,115463,176703,130576,190751
2018,4,A,골목상권,1000695,대림로34길,685799,344925,340874,107014,68037,92709,120307,125355,172376
2018,4,A,골목상권,1000562,강서로47라길,719282,297940,421341,238007,75585,80508,120660,86830,117692
2018,4,A,골목상권,1000696,대림로44길,697895,323755,374140,79666,84809,104699,121190,129291,178240
2018,4,A,골목상권,1000565,강서로5라길,797615,378089,419527,110443,89318,143407,133895,116249,204303
2018,4,A,골목상권,1000697,대림로7길,277714,132168,145546,20452,34262,48893,47774,50404,75930
2018,4,A,골목상권,1000566,강서로8길,2341659,1129539,1212121,352836,324552,444937,387364,335205,496767
2018,4,A,골목상권,1000698,대림로8길,923742,423847,499895,80066,140470,149377,150588,163178,240060
2018,4,A,골목상권,1000568,개화동로25길,933509,463188,470321,134129,166703,149041,136264,135209,212162
2018,4,A,골목상권,1000699,도림로112길,674711,312126,362586,104614,75015,104862,103904,112858,173458
2018,4,A,골목상권,1000569,곰달래로25길,707833,332354,375479,102197,100342,134914,112623,100048,157712
2018,4,A,골목상권,1000700,도림로147길,347512,175578,171934,51259,40708,63843,61723,50058,79921
2018,4,A,골목상권,1000474,만리재옛길,742594,349856,392738,88329,122008,143799,126041,108530,153887
2018,4,A,골목상권,1000701,도림로63길,498134,244548,253585,69413,51863,64813,79712,92689,139642
2018,4,A,골목상권,1000144,뚝섬로23길,800878,383126,417753,74203,153221,119014,116683,146203,191558
2018,4,A,골목상권,1000702,도림천로21길,1175535,576606,598929,85115,195937,245045,204413,177814,267209
2018,4,A,골목상권,1000575,공항대로42길,468153,205073,263081,94519,52268,69624,81454,65150,105140
2018,4,A,골목상권,1000703,도신로15길,1029102,494628,534474,121666,152967,185863,155620,169464,243522
2018,4,A,골목상권,1000577,공항대로59길,382005,177891,204114,51515,56064,79661,60227,56949,77588
2018,4,A,골목상권,1000704,도신로29길,593730,277104,316626,99813,61340,77812,88152,99613,167000
2018,4,A,골목상권,1000578,공항대로59다길,819569,384159,435410,137956,108658,154959,133623,112901,171474
2018,4,A,골목상권,1000705,도신로60길,528095,248878,279217,72255,60058,69546,82328,90157,153752
2018,4,A,골목상권,1000581,국회대로7길,589305,269535,319770,71266,70389,103600,92925,93150,157975
2018,4,A,골목상권,1000706,도신로62길,613358,292322,321036,70066,94579,90807,90375,98895,168638
2018,4,A,골목상권,1000582,까치산로4길,1053435,464448,588986,216063,127354,188180,162700,124093,235046
2018,4,A,골목상권,1000707,디지털로37길,793256,376973,416284,58991,95520,129457,143973,159286,206031
2018,4,A,골목상권,1000584,등촌로13길,715986,318968,397017,153453,79595,123417,111849,95061,152611
2018,4,A,골목상권,1000708,디지털로57길,488917,228991,259927,33852,49319,76539,88264,104367,136574
2018,4,A,골목상권,1000585,등촌로39길,1035287,491395,543892,184483,128078,168201,152140,155180,247205
2018,4,A,골목상권,1000709,디지털로74길,344449,155381,189068,41348,44353,49544,53086,61869,94250
2018,4,A,골목상권,1000481,성미산로11길,712321,320371,391949,97038,122844,139800,126148,87896,138594
2018,4,A,골목상권,1000710,선유로55길,435186,212473,222714,44367,102447,100320,64653,53115,70284
2018,4,A,골목상권,1000590,방화대로6라길,688479,346721,341758,174801,71381,112923,123879,85089,120407
2018,4,A,골목상권,1000711,선유서로24길,461882,236265,225618,61545,57940,87904,78133,69002,107357
2018,4,A,골목상권,1000592,양천로24가길,582588,278876,303712,95852,57172,95692,86391,90195,157285
2018,4,A,골목상권,1000712,선유서로25길,362991,182040,180952,42034,53222,79845,65294,47161,75436
2018,4,A,골목상권,1000593,양천로24길,881203,418163,463039,150283,104584,141305,132084,127064,225883
2018,4,A,골목상권,1000713,선유서로28길,497549,255963,241586,58186,68681,97191,87399,75221,110869
2018,4,A,골목상권,1000596,양천로71길,1101918,494020,607898,293775,100419,179746,212544,131943,183492
2018,4,A,골목상권,1000714,신길로17길,575920,272153,303768,59604,67498,79432,85374,109169,174843
2018,4,A,골목상권,1000597,양천로73가길,568958,267578,301380,109614,61670,107129,102917,79749,107878
2018,4,A,골목상권,1000715,신길로39길,680391,320691,359700,105062,77750,85875,105048,124129,182526
2018,4,A,골목상권,1000599,월정로20길,858478,410489,447988,74975,154203,201134,122075,116797,189293
2018,4,A,골목상권,1000716,신길로42가길,1098460,533650,564810,143486,118489,139565,179702,201528,315690
2018,4,A,골목상권,1000600,초록마을로3길,1056370,498956,557414,153945,153333,198873,170298,139684,240237
2018,4,A,골목상권,1000717,신길로42길,953843,450762,503080,137826,121829,121564,144853,177646,250123
2018,4,A,골목상권,1000161,자양로45길,1149457,502530,646926,172587,155578,189068,168501,180392,283330
2018,4,A,골목상권,1000718,신길로60길,1560862,722182,838679,272550,178048,221874,232213,240606,415573
2018,4,A,골목상권,1000485,성지3길,404963,192451,212511,46701,97598,95730,58945,47443,58545
2018,4,A,골목상권,1000719,양평로19길,586222,299468,286754,58271,115637,132835,103624,77577,98276
2018,4,A,골목상권,1000489,신촌로28가길,472413,201051,271362,67703,76303,81158,73856,74809,98584
2018,4,A,골목상권,1000720,양평로22라길,229182,115563,113619,20486,48799,58858,40944,28638,31455
2018,4,A,골목상권,1000492,양화로1길,715552,309496,406056,75204,158138,174901,118761,83956,104592
2018,4,A,골목상권,1000721,양평로28길,416789,201657,215132,58948,60305,93782,69192,56921,77640
2018,4,A,골목상권,1000497,월드컵로10길,882059,386758,495301,95604,180870,203547,149609,90825,161606
2018,4,A,골목상권,1000722,여의대방로35길,972677,485599,487077,146719,123600,140826,155469,158652,247410
2018,4,A,골목상권,1000500,월드컵로19길,652029,281248,370781,80422,112153,143513,102443,74285,139215
2018,4,A,골목상권,1000723,여의대방로39길,253380,122173,131207,44548,31094,39136,39380,39114,60108
2018,4,A,골목상권,1000504,월드컵로8길,788954,356247,432706,74907,178676,190418,134085,85647,125221
2018,4,A,골목상권,1000724,여의대방로43나길,539469,252170,287300,105886,74220,74291,86896,77437,120741
2018,4,A,골목상권,1000507,가로공원로58길,471232,227555,243675,71015,47412,61041,62525,83940,145298
2018,4,A,골목상권,1000725,여의대방로61길,513782,261351,252431,53655,97215,92245,80892,70376,119401
2018,4,A,골목상권,1000513,남부순환로40길,439728,215367,224361,63331,49896,57341,64819,74729,129612
2018,4,A,골목상권,1000726,영등포로25길,793977,374774,419203,76962,119633,140096,122813,125713,208759
2018,4,A,골목상권,1000516,남부순환로79길,514948,259871,255076,88216,49886,66296,87641,94308,128599
2018,4,A,골목상권,1000727,영등포로27길,522237,252072,270166,64079,73586,96039,83528,81239,123768
2018,4,A,골목상권,1000520,목동동로8길,298187,134043,164144,77657,30788,33867,56206,46556,53113
2018,4,A,골목상권,1000728,영등포로35길,431819,212928,218891,44905,68379,77870,64137,68243,108285
2018,4,A,골목상권,1000523,목동중앙남로3가길,712860,337809,375051,143424,82783,103158,110887,113340,159268
2018,4,A,골목상권,1000729,영등포로62길,802611,398570,404042,94500,160960,153454,108767,109142,175789
2018,4,A,골목상권,1000528,목동중앙북로8길,443017,195954,247065,58716,62758,77893,64084,66360,113206
2018,4,A,골목상권,1000730,영등포로80길,1062784,520892,541891,94899,210960,176106,149680,166000,265141
2018,4,A,골목상권,1000531,신목로2길,682811,324064,358747,157310,82878,71986,115739,113450,141448
2018,4,A,골목상권,1000731,영등포로84길,692179,332211,359968,87669,128292,111423,104334,98846,161614
2018,4,A,골목상권,1000535,신월로20길,646844,311841,335003,105049,63595,102123,99653,105689,170735
2018,4,A,골목상권,1000732,영신로9길,1548555,747911,800641,206487,203825,214777,241617,258771,423077
2018,4,A,골목상권,1000538,오목로3길,855067,406464,448603,159746,83054,125928,135670,130787,219881
2018,4,A,골목상권,1000733,국사봉1길,495040,223153,271889,61246,80973,75989,77946,70333,128554
2018,4,A,골목상권,1000176,답십리로68길,627258,304707,322550,69107,101408,129378,110644,89881,126839
2018,4,A,골목상권,1000734,국사봉2길,577532,264406,313126,62205,118289,106159,84700,72666,133515
2018,4,A,골목상권,1000545,중앙로45길,720610,339852,380758,120291,83863,97379,104587,115262,199227
2018,4,A,골목상권,1000735,국사봉길,922981,416746,506235,133964,149202,163357,134084,115315,227058
2018,4,A,골목상권,1000548,중앙로55길,880956,414163,466794,169715,95748,139186,130714,125073,220521
2018,4,A,골목상권,1000736,노량진로6길,832465,399131,433333,87575,173284,125748,103114,128832,213913
2018,4,A,골목상권,1000552,가로공원로76가길,679119,294823,384296,118927,74928,118862,94549,96034,175818
2018,4,A,골목상권,1000737,대방동27길,786027,379043,406983,176526,121882,121656,127698,91644,146620
2018,4,A,골목상권,1000555,강서로17가길,771342,335814,435529,105638,99928,143884,112625,102679,206589
2018,4,A,골목상권,1000738,대방동2길,456048,207126,248922,64631,84303,76559,71274,58465,100817
