기준년,분기,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2019,3,A,골목상권,1000526,목동중앙본로7길,754164,345192,408972,149389,102931,103406,118399,120423,159614
2019,3,A,골목상권,1000527,목동중앙북로16길,667900,306870,361029,75971,110329,138356,99498,92987,150757
2019,3,A,골목상권,1000528,목동중앙북로8길,387998,174193,213805,49274,54619,71231,57149,57224,98500
2019,3,A,골목상권,1000529,목동중앙서로7길,830584,377150,453434,161147,107204,113843,145786,125824,176781
2019,3,A,골목상권,1000530,목동중앙서로8가길,343181,156738,186444,62408,44255,47050,59445,55696,74327
2019,3,A,골목상권,1000531,신목로2길,647361,295823,351539,141251,78264,66715,104947,108809,147375
2019,3,A,골목상권,1000532,신목로5길,510449,230729,279721,133712,53772,53112,94301,81610,93943
2019,3,A,골목상권,1000533,신목로6길,893763,408022,485741,217236,104247,90679,150325,144170,187107
2019,3,A,골목상권,1000534,신월로15길,1346823,629028,717796,264710,139295,181312,204632,211445,345430
2019,3,A,골목상권,1000535,신월로20길,576192,284559,291632,93467,59576,86749,92931,93084,150384
2019,3,A,골목상권,1000536,오목로23길,948922,456612,492310,137589,116438,168756,146668,139450,240021
2019,3,A,골목상권,1000537,오목로30길,767768,356190,411579,112249,105535,122971,115033,113924,198054
2019,3,A,골목상권,1000538,오목로3길,839202,396420,442781,146326,85651,121508,133547,131433,220735
2019,3,A,골목상권,1000539,오목로5길,620914,291421,329495,113074,59727,99306,103535,88748,156525
2019,3,A,골목상권,1000540,은행정로5길,264662,126498,138162,50319,28983,34865,47843,41711,60941
2019,3,A,골목상권,1000541,은행정로7길,883374,421640,461734,192455,110212,122829,138317,122973,196589
2019,3,A,골목상권,1000542,중앙로25길,499037,244694,254343,89315,49219,57851,73011,82379,147262
2019,3,A,골목상권,1000543,중앙로32길,513561,244218,269344,108623,56037,68855,95711,78873,105464
2019,3,A,골목상권,1000544,중앙로36길,277011,130729,146282,55003,28901,33868,51342,44199,63700
2019,3,A,골목상권,1000545,중앙로45길,772560,368162,404399,125773,92021,101612,113001,125439,214715
2019,3,A,골목상권,1000546,중앙로47길,957312,464851,492461,171381,102356,120042,135783,152729,275021
2019,3,A,골목상권,1000547,중앙로51길,922874,412801,510073,193813,102093,135902,134633,131860,224572
2019,3,A,골목상권,1000548,중앙로55길,881253,407256,473997,163101,99108,138695,131739,130209,218404
2019,3,A,골목상권,1000549,지양로7길,460761,216612,244150,76922,47731,55374,64191,69917,146626
2019,3,A,골목상권,1000550,화곡로3길,467044,234628,232417,115420,49599,62388,71871,70400,97364
2019,3,A,골목상권,1000551,화곡로4길,260570,131049,129522,48501,30554,36574,39119,43055,62767
2019,3,A,골목상권,1000552,가로공원로76가길,610643,265909,344734,100927,71284,101939,84091,88969,163431
2019,3,A,골목상권,1000553,가로공원로80길,557785,242747,315038,110820,61987,89952,76865,76881,141279
2019,3,A,골목상권,1000554,강서로15길,1125507,506869,618638,127219,175094,222525,162829,156084,281758
2019,3,A,골목상권,1000555,강서로17가길,543163,236019,307144,79084,71474,100289,79227,72879,140209
2019,3,A,골목상권,1000556,강서로18길,1101083,499304,601779,175921,146703,192612,171211,150327,264311
2019,3,A,골목상권,1000557,강서로29길,575653,263448,312204,82439,91475,110983,83352,77294,130111
2019,3,A,골목상권,1000558,강서로35길,473622,218347,255275,43793,75491,91427,67596,71228,124087
2019,3,A,골목상권,1000559,강서로45길,641799,284784,357015,161878,67582,78651,97016,86278,150396
2019,3,A,골목상권,1000560,강서로45다길,875950,396839,479111,125322,110725,140896,127358,129280,242369
2019,3,A,골목상권,1000561,강서로47길,1008876,414072,594806,323874,97089,114920,171318,125683,175995
2019,3,A,골목상권,1000562,강서로47라길,893898,380356,513542,290789,101123,102426,149092,108647,141818
2019,3,A,골목상권,1000563,강서로5가길,1043473,500312,543160,126136,173206,212387,162845,151293,217604
2019,3,A,골목상권,1000564,강서로5나길,1393023,670622,722401,113589,258213,322384,204301,192910,301624
2019,3,A,골목상권,1000565,강서로5라길,835294,400056,435238,110893,92775,149702,140826,124557,216542
2019,3,A,골목상권,1000566,강서로8길,1517176,731542,785634,214974,220828,294352,252008,224576,310438
2019,3,A,골목상권,1000567,개화동로23길,799153,373983,425170,135180,98351,117297,111840,117791,218693
2019,3,A,골목상권,1000568,개화동로25길,911823,449924,461899,117866,168457,149231,133883,130155,212230
2019,3,A,골목상권,1000569,곰달래로25길,522441,246897,275545,70686,79019,100800,83092,74892,113954
2019,3,A,골목상권,1000570,곰달래로31길,713020,312399,400620,151537,90737,118357,115131,86609,150649
2019,3,A,골목상권,1000571,곰달래로47길,636549,283302,353246,128635,73551,102984,101368,82545,147467
2019,3,A,골목상권,1000572,곰달래로53길,657289,291906,365385,163025,64238,89137,100156,86291,154444
2019,3,A,골목상권,1000573,곰달래로60길,757151,348080,409070,110509,103130,125334,122383,117808,177988
2019,3,A,골목상권,1000574,공항대로38길,238257,105192,133066,34360,37082,40484,42573,35336,48423
2019,3,A,골목상권,1000575,공항대로42길,564945,243617,321327,114942,65823,82966,100944,77539,122730
2019,3,A,골목상권,1000576,공항대로55길,462985,219950,243035,62919,73063,99012,69640,60502,97848
2019,3,A,골목상권,1000577,공항대로59길,348223,165911,182311,44092,52174,70952,57182,51668,72156
2019,3,A,골목상권,1000578,공항대로59다길,825211,386773,438437,119858,110288,165396,142408,115670,171592
2019,3,A,골목상권,1000579,공항대로61길,587217,272922,314294,81002,78196,121487,99514,87628,119388
2019,3,A,골목상권,1000580,공항대로8길,818632,404767,413866,137445,137077,121236,102656,118035,202182
2019,3,A,골목상권,1000581,국회대로7길,507146,236260,270886,63520,57571,86722,81591,81946,135797
2019,3,A,골목상권,1000582,까치산로4길,925442,421852,503590,177296,115686,174412,143484,106948,207614
2019,3,A,골목상권,1000583,남부순환로11길,939904,497872,442032,175687,142451,157173,138770,122949,202876
2019,3,A,골목상권,1000584,등촌로13길,754340,329209,425130,159271,87713,123998,114245,102543,166570
2019,3,A,골목상권,1000585,등촌로39길,942286,440199,502087,168291,120565,157731,133581,138497,223621
2019,3,A,골목상권,1000586,등촌로51길,381420,174294,207126,68676,53779,75197,56240,47204,80324
2019,3,A,골목상권,1000587,등촌로55길,529450,238264,291186,81902,77626,111077,82112,64591,112143
2019,3,A,골목상권,1000588,등촌로5길,359792,156752,203040,48953,45416,61986,56731,54639,92069
2019,3,A,골목상권,1000589,방화대로21길,531453,274406,257048,88830,91891,87619,72859,72043,118210
2019,3,A,골목상권,1000590,방화대로6라길,815478,422596,392883,214808,90609,129853,141117,102662,136428
2019,3,A,골목상권,1000591,양천로14길,648482,302468,346014,95189,78491,107362,96868,94714,175858
2019,3,A,골목상권,1000592,양천로24가길,625238,299760,325478,103721,64550,97639,89850,100657,168820
2019,3,A,골목상권,1000593,양천로24길,815582,387874,427707,144479,104240,129839,116512,120222,200289
2019,3,A,골목상권,1000594,양천로26길,351557,168748,182808,54949,44815,60753,55405,48593,87043
2019,3,A,골목상권,1000595,양천로49길,193168,94494,98674,26703,29309,36819,28011,28179,44147
2019,3,A,골목상권,1000596,양천로71길,959214,434653,524561,243404,88066,160445,185246,117474,164580
2019,3,A,골목상권,1000597,양천로73가길,641548,303859,337689,118928,73738,124505,120399,86177,117801
2019,3,A,골목상권,1000598,우장산로6길,1236857,547182,689675,404837,122461,143973,211146,153536,200906
2019,3,A,골목상권,1000599,월정로20길,929198,440375,488822,80682,170814,217888,133987,126021,199805
2019,3,A,골목상권,1000600,초록마을로3길,1027005,491246,535760,151614,151345,188900,162993,135462,236693
2019,3,A,골목상권,1000601,초록마을로8길,974629,442078,532552,201249,124644,172162,143943,115258,217373
2019,3,A,골목상권,1000602,초원로16길,755175,365120,390056,127237,98862,113366,102338,112056,201314
2019,3,A,골목상권,1000603,화곡로13길,564388,262963,301426,80473,77181,99176,85492,81145,140922
2019,3,A,골목상권,1000604,화곡로20길,1103530,519620,583911,177052,142587,191526,163778,152501,276087
2019,3,A,골목상권,1000605,화곡로31길,819684,366171,453514,90520,125400,153621,122647,110730,216766
2019,3,A,골목상권,1000606,화곡로44나길,838407,408775,429632,109435,134485,155885,133252,115640,189712
2019,3,A,골목상권,1000607,화곡로59길,660660,321685,338975,71336,113969,114553,107823,106902,146077
2019,3,A,골목상권,1000608,화곡로64길,635550,296040,339510,79050,108768,133125,87163,84636,142806
