기준년,분기,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2018,1,A,골목상권,1000001,계동길,392837,200175,192662,47701,55257,80986,73795,56694,78407
2018,1,A,골목상권,1000002,난계로27길,431282,219293,211990,31718,67015,80587,68387,73418,110158
2018,1,A,골목상권,1000003,돈화문로11가길,252835,139923,112912,12219,49962,46543,46637,40395,57079
2018,1,A,골목상권,1000004,명륜길,773560,384048,389511,109972,307630,78038,70594,66918,140408
2018,1,A,골목상권,1000005,백석동길,131329,59118,72212,17463,17659,14920,20997,20445,39847
2018,1,A,골목상권,1000006,북촌로11길,145227,71251,73977,15050,21276,30020,26853,21429,30600
2018,1,A,골목상권,1000007,북촌로5길,140959,68613,72346,13238,22304,26399,26214,21150,31652
2018,1,A,골목상권,1000008,북촌로5나길,115006,56322,58684,8748,17706,23496,21210,18254,25594
2018,1,A,골목상권,1000009,삼청로5길,29397,14865,14529,3036,4672,5167,5126,4232,7162
2018,1,A,골목상권,1000010,성균관로5길,475165,222952,252215,70331,181757,58370,54196,43620,66891
2018,1,A,골목상권,1000011,숭인동길,592551,286634,305919,67710,92020,80645,88952,102682,160543
2018,1,A,골목상권,1000012,옥인길,564421,240785,323636,109887,72597,91679,100504,70434,119319
2018,1,A,골목상권,1000013,율곡로10길,171541,97321,74220,8639,36209,31372,32512,27880,34930
2018,1,A,골목상권,1000014,율곡로16길,221149,114592,106557,18016,38806,33831,35743,36620,58133
2018,1,A,골목상권,1000015,이화장길,597596,281618,315979,67686,121853,97561,85437,81172,143887
2018,1,A,골목상권,1000016,자하문로7길,407727,190649,217078,53652,68946,73477,72606,54375,84669
2018,1,A,골목상권,1000017,종로24길,101999,60581,41418,3443,15186,13959,16464,19383,33564
2018,1,A,골목상권,1000018,종로58가길,556437,267553,288884,30945,95208,110538,104908,94850,119988
2018,1,A,골목상권,1000019,종로65길,1266646,624807,641840,108185,210471,202858,196764,225855,322512
2018,1,A,골목상권,1000020,지봉로8길,1044433,494872,549559,128171,137456,156252,158136,179932,284482
2018,1,A,골목상권,1000021,창경궁로35길,304904,138928,165976,52525,60194,40114,44988,38873,68209
2018,1,A,골목상권,1000022,창신2길,521267,249966,271301,42800,56175,57908,84465,118354,161566
2018,1,A,골목상권,1000023,창신5길,746067,353948,392121,72759,87237,86081,116637,157826,225528
2018,1,A,골목상권,1000024,창신길,1176224,562167,614057,138683,150613,145851,191038,237531,312507
2018,1,A,골목상권,1000025,통일로12길,518342,226113,292228,111014,52496,60639,84076,65073,145044
2018,1,A,골목상권,1000026,평창길,42332,17932,24400,6220,4476,4961,6259,7196,13221
2018,1,A,골목상권,1000027,필운대로1길,127346,58588,68758,18933,17294,19523,21875,19100,30623
2018,1,A,골목상권,1000028,난계로11길,1113665,515208,598457,119169,196334,210901,156571,169887,260805
2018,1,A,골목상권,1000029,난계로21길,614822,284588,330234,66462,89670,139611,94240,93481,131358
2018,1,A,골목상권,1000030,다산로33길,1443175,699863,743313,149495,237367,222949,242897,259612,330856
2018,1,A,골목상권,1000031,다산로36길,745872,339981,405892,104412,93599,115181,119238,120520,192920
2018,1,A,골목상권,1000032,다산로38길,713942,336090,377852,75419,113899,114343,118475,123273,168531
2018,1,A,골목상권,1000033,다산로39길,772341,377171,395170,56162,139087,140583,137542,135580,163388
2018,1,A,골목상권,1000034,동호로10길,1118188,510701,607489,140199,165587,199671,165101,161145,286485
2018,1,A,골목상권,1000035,동호로11길,752866,350488,402377,94002,100045,131555,112456,107501,207308
2018,1,A,골목상권,1000036,동호로15길,448827,215301,233527,44041,79032,82402,70422,59985,112944
