기준년,분기,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2020,1,A,골목상권,1000001,계동길,336343,169874,166470,33331,48735,65271,68726,51860,68420
2020,1,A,골목상권,1000002,난계로27길,347131,178486,168645,18416,60073,64290,57713,59606,87031
2020,1,A,골목상권,1000003,돈화문로11가길,178244,99189,79055,11059,34020,35804,32371,27855,37135
2020,1,A,골목상권,1000004,명륜길,623119,308084,315037,67533,234421,65177,68911,58209,128869
2020,1,A,골목상권,1000005,백석동길,178717,84537,94180,23100,25805,20942,31165,26801,50904
2020,1,A,골목상권,1000006,북촌로11길,112572,56513,56060,10464,16762,22211,22565,17663,22910
2020,1,A,골목상권,1000007,북촌로5길,125988,60251,65737,11305,17273,24207,24096,18949,30158
2020,1,A,골목상권,1000008,북촌로5나길,93690,51797,41893,10124,18256,17226,15655,13088,19340
2020,1,A,골목상권,1000009,삼청로5길,27732,14222,13510,2285,4805,5336,5113,3984,6209
2020,1,A,골목상권,1000010,성균관로5길,450412,213275,237137,66069,157752,56982,51336,48387,69888
2020,1,A,골목상권,1000011,숭인동길,566758,277165,289593,69211,81353,83707,84128,105328,143030
2020,1,A,골목상권,1000012,옥인길,556614,240407,316208,96863,75652,81676,106680,78007,117736
2020,1,A,골목상권,1000013,율곡로10길,159647,92560,67086,7832,29732,28851,31388,28879,32965
2020,1,A,골목상권,1000014,율곡로16길,202715,106185,96530,16527,34898,31655,32666,36015,50955
2020,1,A,골목상권,1000015,이화장길,437538,210462,227074,46060,92455,77691,68800,61994,90539
2020,1,A,골목상권,1000016,자하문로7길,442731,205293,237437,48682,73087,76555,79313,64913,100180
2020,1,A,골목상권,1000017,종로24길,78643,47451,31193,2880,11073,11435,13694,15805,23755
2020,1,A,골목상권,1000018,종로58가길,620688,299269,321420,31528,100805,110754,118318,106641,152643
2020,1,A,골목상권,1000019,종로65길,1124321,551636,572686,106948,161595,173672,193279,212043,276785
2020,1,A,골목상권,1000020,지봉로8길,947325,458990,488336,109179,130725,138602,152414,172876,243528
2020,1,A,골목상권,1000021,창경궁로35길,250475,113075,137400,40248,48231,32736,40739,32674,55846
2020,1,A,골목상권,1000022,창신2길,570005,270432,299571,54827,67779,63851,85228,131385,166933
2020,1,A,골목상권,1000023,창신5길,629907,299601,330308,70578,78679,80162,86420,131178,182890
